"Marca A","Marca B","Marca C"
"63.5341088391359",101.530780304358,"91.591445192137"
"41.1924270292646",62.1042829928198,"113.843593434786"
"69.0944948359403",111.343226181071,"100.701427664273"
"31.9731714521619",41.91276055636,"117.114408727024"
"35.1418482072754",45.8350084449916,"93.9709201854533"
"42.3478398216667",40.9388606242715,"95.2783361483306"
"60.8697158455088",51.4267909540154,"93.6462868747572"
"37.321915946183",64.1432467441177,"97.1422636513385"
"37.6372356106526",96.8289103156038,"101.381082248039"
"44.0938933509238",55.2739693167935,"112.276303438535"
"35.5909580855177",55.8304157835046,"91.9822054534718"
"55.3087030706653",42.0806071586122,"98.4246564389312"
"56.0117796957516",67.2245176781009,"98.6101385945015"
"64.9553523581349",52.2193377979725,"94.0268690528708"
"52.0149385224845",87.0153583599975,"102.408172559367"
"53.9231518144566",88.2560818160323,"97.4064459326575"
"35.0108085720583",104.038857102591,"109.005119453333"
"64.1160142322611",81.2028326867374,"109.418693938677"
"65.4791550659103",84.5702679078645,"114.679619034197"
"45.3705556521449",51.1955445389264,"107.067610895579"
"58.8648008502006",102.557672174578,"108.190089302622"
"77.6628297185268",104.963214822195,"97.0651815129755"
"60.6907618622748",40.2875371654301,"114.185890724859"
"65.1467703728507",69.477451150844,"114.987738274065"
"56.1767551511036",93.2908250297657,"93.4291790551434"
"37.575661858764",126.463817150341,"91.47204559998"
"66.3510262812132",96.5131091687202,"103.159150383615"
"38.7321583619946",104.376653599148,"111.096941676589"
"72.2263552302819",88.5472149725358,"122.15460571678"
"32.2383280043527",55.7217562213482,"112.171036389573"
"49.5577971649313",106.501811084494,"114.792217866383"
"32.175842204682",57.7626324035199,"109.515738324179"
"38.8234103508201",116.870038641674,"98.5739187404494"
"64.8752255701275",46.3029317723871,"115.500603694831"
"43.1913436563633",76.8667008792906,"91.9757681828523"
"57.3743886426243",46.1926627141446,"99.2542108011733"
"38.0925888643857",57.9236653249767,"118.956679547225"
"52.8061815710238",103.89745688846,"95.4343105907957"
"38.0856458065482",65.6317829229941,"105.62223362643"
"38.9104542202635",90.6606858399252,"91.1299148848857"
"43.965679990278",42.2449550114689,"95.3975542380482"
"54.5321171931838",56.6339803489159,"92.7567151393253"
"30.1677028776485",82.5991439488655,"99.3078884416589"
"48.4381461635126",56.6217278939085,"114.632485629487"
"34.1964334032097",58.0772721534061,"101.877260974331"
"34.8710612167288",66.9982588063729,"110.220228613308"
"35.2456761332431",85.6449126938537,"94.0816516704896"
"36.5303455460672",42.6488874311444,"98.8779934496386"
"36.164558846205",74.8908461709046,"90.7504691413432"
"45.8994836843757",49.7584118880171,"107.533047982955"
"40.5502533241647",50.9489315589331,"98.8739092979695"
"47.0300319244206",51.6100167057231,"99.359090717802"
"37.3590758973686",53.8770803754127,"102.332752935458"
"56.5492516722118",53.2315744344793,"108.548304231285"
"42.0585324271491",70.410853560663,"94.2162958103815"
"43.2159527551167",60.9710352779377,"104.963615390302"
"30.4309538129587",72.4059386901539,"92.3994206938821"
"48.4730748050226",55.3395457012386,"96.5861372960057"
"56.5839946524627",89.2045617744914,"96.982977186311"
"39.5905911634806",63.6327042832043,"97.2033389019077"
"51.4866360803394",65.6752107443236,"97.9590267918042"
