Stage,Date,Year,Month,Day,Distance,Origin,Destination,Type,Winner,Winner_Country
15,1992-07-20,1992,7,20,198.0,Le Bourg-d'Oisans,Saint-Étienne,Hilly stage,Franco Chioccioli,ITA
16,1992-07-21,1992,7,21,212.0,Saint-Étienne,La Bourboule,Hilly stage,Stephen Roche,IRE
17,1992-07-22,1992,7,22,189.0,La Bourboule,Montluçon,Plain stage,Jean-Claude Colotti,FRA
18,1992-07-23,1992,7,23,212.0,Montluçon,Tours,Plain stage,Thierry Marie,FRA
19,1992-07-24,1992,7,24,64.0,Tours,Blois,Individual time trial,Miguel Indurain,ESP
20,1992-07-25,1992,7,25,222.0,Blois,Nanterre,Plain stage,Peter De Clercq,BEL
21,1992-07-26,1992,7,26,141.0,La Défense,Paris,Plain stage,Olaf Ludwig,GER
P,1991-07-06,1991,7,6,5.4,Lyon,Lyon,Individual time trial,Thierry Marie,FRA
1,1991-07-07,1991,7,7,114.5,Lyon,Lyon,Plain stage,Djamolidine Abdoujaparov,URS
2,1991-07-07,1991,7,7,36.5,Bron,Chassieu,Team time trial,Ariostea,
3,1991-07-08,1991,7,8,210.5,Villeurbanne,Dijon,Plain stage,Etienne De Wilde,BEL
4,1991-07-09,1991,7,9,286.0,Dijon,Reims,Plain stage,Djamolidine Abdoujaparov,URS
5,1991-07-10,1991,7,10,149.5,Reims,Valenciennes,Plain stage,Jelle Nijdam,NED
6,1991-07-11,1991,7,11,259.0,Arras,Le Havre,Plain stage,Thierry Marie,FRA
7,1991-07-12,1991,7,12,167.0,Le Havre,Argentan,Plain stage,Jean-Paul van Poppel,NED
8,1991-07-13,1991,7,13,73.0,Argentan,Alençon,Individual time trial,Miguel Indurain,ESP
9,1991-07-14,1991,7,14,161.0,Alençon,Rennes,Plain stage,Mauro Ribeiro,BRA
10,1991-07-15,1991,7,15,207.5,Rennes,Quimper,Plain stage,Phil Anderson,AUS
11,1991-07-16,1991,7,16,246.0,Quimper,Saint-Herblain,Plain stage,Charly Mottet,FRA
12,1991-07-18,1991,7,18,192.0,Pau,Jaca,Stage with mountain(s),Charly Mottet,FRA
13,1991-07-19,1991,7,19,232.0,Jaca,Val-Louron,Stage with mountain(s),Claudio Chiappucci,ITA
14,1991-07-20,1991,7,20,172.5,St Gaudens,Castres,Plain stage,Bruno Cenghialta,ITA
15,1991-07-21,1991,7,21,235.0,Albi,Ales,Hilly stage,Moreno Argentin,ITA
16,1991-07-22,1991,7,22,215.0,Alès,Gap,Plain stage,Marco Lietti,ITA
17,1991-07-23,1991,7,23,125.0,Gap,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
18,1991-07-24,1991,7,24,255.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Thierry Claveyrolat,FRA
19,1991-07-25,1991,7,25,177.0,Morzine,Aix-les-Bains,Hilly stage,Dmitri Konychev,URS
20,1991-07-26,1991,7,26,160.0,Aix-les-Bains,Mâcon,Hilly stage,Viatcheslav Ekimov,URS
21,1991-07-27,1991,7,27,57.0,Lugny,Mâcon,Individual time trial,Miguel Indurain,ESP
22,1991-07-28,1991,7,28,178.0,Melun,Paris,Plain stage,Dmitri Konychev,URS
P,1990-06-30,1990,6,30,6.3,Futuroscope,Futuroscope,Individual time trial,Thierry Marie,FRA
1,1990-07-01,1990,7,1,138.5,Futuroscope,Futuroscope,Plain stage,Frans Maassen,NED
2,1990-07-01,1990,7,1,44.5,Futuroscope,Futuroscope,Team time trial,Panasonic–Sportlife,
3,1990-07-02,1990,7,2,233.0,Poitiers,Nantes,Plain stage,Moreno Argentin,ITA
4,1990-07-03,1990,7,3,203.0,Nantes,Mont Saint-Michel,Plain stage,Johan Museeuw,BEL
5,1990-07-04,1990,7,4,301.0,Avranches,Rouen,Plain stage,Gerrit Solleveld,NED
6,1990-07-06,1990,7,6,202.5,Sarrebourg,Vittel,Plain stage,Jelle Nijdam,NED
7,1990-07-07,1990,7,7,61.5,Vittel,Épinal,Individual time trial,Raúl Alcalá,MEX
8,1990-07-08,1990,7,8,181.5,Épinal,Besançon,Plain stage,Olaf Ludwig,GDR
9,1990-07-09,1990,7,9,196.0,Besançon,Geneva,Hilly stage,Massimo Ghirotto,ITA
10,1990-07-10,1990,7,10,118.5,Geneva,Saint-Gervais,Stage with mountain(s),Thierry Claveyrolat,FRA
11,1990-07-11,1990,7,11,182.5,Saint-Gervais,Alpe d'Huez,Stage with mountain(s),Gianni Bugno,ITA
12,1990-07-12,1990,7,12,33.5,Fontaine,Villard-de-Lans,Mountain time trial,Erik Breukink,NED
13,1990-07-14,1990,7,14,149.0,Villard-de-Lans,Saint-Étienne,Hilly stage,Eduardo Chozas,ESP
14,1990-07-15,1990,7,15,205.0,Le Puy-en-Velay,Millau,Hilly stage,Marino Lejarreta,ESP
15,1990-07-16,1990,7,16,170.0,Millau,Revel,Plain stage,Charly Mottet,FRA
16,1990-07-17,1990,7,17,215.0,Blagnac,Luz Ardiden,Stage with mountain(s),Miguel Indurain,ESP
17,1990-07-18,1990,7,18,150.0,Lourdes,Pau,Stage with mountain(s),Dmitri Konychev,URS
18,1990-07-19,1990,7,19,202.0,Pau,Bordeaux,Plain stage,Gianni Bugno,ITA
19,1990-07-20,1990,7,20,182.5,Castillon-la-Bataille,Limoges,Plain stage,Guido Bontempi,ITA
20,1990-07-21,1990,7,21,45.5,Lac de Vassivière,Lac de Vassivière,Individual time trial,Erik Breukink,NED
21,1990-07-22,1990,7,22,182.5,Brétigny-sur-Orge,Paris,Plain stage,Johan Museeuw,BEL
P,1989-07-01,1989,7,1,7.8,Luxembourg City,Luxembourg City,Individual time trial,Erik Breukink,NED
1,1989-07-02,1989,7,2,135.5,Luxembourg City,Luxembourg City,Plain stage,Acácio da Silva,POR
2,1989-07-02,1989,7,2,46.0,Luxembourg City,Luxembourg City,Team time trial,Super U–Raleigh–Fiat,
3,1989-07-03,1989,7,3,241.0,Luxembourg City,Spa,Plain stage,Raúl Alcalá,MEX
4,1989-07-04,1989,7,4,255.0,Liège,Wasquehal,Flat cobblestone stage,Jelle Nijdam,NED
5,1989-07-06,1989,7,6,73.0,Dinard,Rennes,Individual time trial,Greg LeMond,USA
6,1989-07-07,1989,7,7,259.0,Rennes,Futuroscope,Plain stage,Joël Pelier,FRA
7,1989-07-08,1989,7,8,258.5,Poitiers,Bordeaux,Plain stage,Etienne De Wilde,BEL
8,1989-07-09,1989,7,9,157.0,Labastide-d'Armagnac,Pau,Plain stage,Martin Earley,IRE
9,1989-07-10,1989,7,10,147.0,Pau,Cauterets,Stage with mountain(s),Miguel Induráin,ESP
10,1989-07-11,1989,7,11,136.0,Cauterets,Superbagnères,Stage with mountain(s),Robert Millar,GBR
11,1989-07-12,1989,7,12,158.5,Luchon,Blagnac,Plain stage,Mathieu Hermans,NED
12,1989-07-13,1989,7,13,242.0,Toulouse,Montpellier,Plain stage,Valerio Tebaldi,ITA
13,1989-07-14,1989,7,14,179.0,Montpellier,Marseille,Plain stage,Vincent Barteau,FRA
14,1989-07-15,1989,7,15,240.0,Marseille,Gap,Hilly stage,Jelle Nijdam,NED
15,1989-07-16,1989,7,16,39.0,Gap,Orcières-Merlette,Mountain time trial,Steven Rooks,NED
16,1989-07-18,1989,7,18,175.0,Gap,Briançon,Stage with mountain(s),Pascal Richard,SUI
17,1989-07-19,1989,7,19,165.0,Briançon,Alpe d'Huez,Stage with mountain(s),Gert-Jan Theunisse,NED
18,1989-07-20,1989,7,20,91.5,Le Bourg-d'Oisans,Villard-de-Lans,Stage with mountain(s),Laurent Fignon,FRA
19,1989-07-21,1989,7,21,125.0,Villard-de-Lans,Aix-les-Bains,Stage with mountain(s),Greg LeMond,USA
20,1989-07-22,1989,7,22,130.0,Aix-les-Bains,L'Isle-d'Abeau,Plain stage,Giovanni Fidanza,ITA
21,1989-07-23,1989,7,23,24.5,Versailles,Paris,Individual time trial,Greg LeMond,USA
P,1988-07-03,1988,7,3,1.0,Pornichet,La Baule,Individual time trial,Guido Bontempi,ITA
1,1988-07-04,1988,7,4,92.0,Pontchâteau,Machecoul,Plain stage,Steve Bauer,CAN
2,1988-07-04,1988,7,4,48.0,La Haie-Fouassière,Ancenis,Team time trial,Panasonic–Isostar–Colnago–Agu,
3,1988-07-05,1988,7,5,213.0,Nantes,Le Mans,Plain stage,Jean-Paul van Poppel,NED
4,1988-07-06,1988,7,6,158.0,Le Mans,Évreux,Plain stage,Acácio da Silva,POR
5,1988-07-07,1988,7,7,148.0,Neufchâtel-en-Bray,Liévin,Plain stage,Jelle Nijdam,NED
6,1988-07-08,1988,7,8,52.0,Liévin,Wasquehal,Individual time trial,Sean Yates,GBR
7,1988-07-09,1988,7,9,225.0,Wasquehal,Reims,Plain stage,Valerio Tebaldi,ITA
8,1988-07-10,1988,7,10,219.0,Reims,Nancy,Plain stage,Rolf Gölz,GER
9,1988-07-11,1988,7,11,161.0,Nancy,Strasbourg,Hilly stage,Jérôme Simon,FRA
10,1988-07-12,1988,7,12,149.0,Belfort,Besançon,Hilly stage,Jean-Paul van Poppel,NED
11,1988-07-13,1988,7,13,232.0,Besançon,Morzine,Stage with mountain(s),Fabio Parra,COL
12,1988-07-14,1988,7,14,227.0,Morzine,Alpe d'Huez,Stage with mountain(s),Steven Rooks,NED
13,1988-07-15,1988,7,15,38.0,Grenoble,Villard-de-Lans,Mountain time trial,Pedro Delgado,ESP
14,1988-07-17,1988,7,17,163.0,Blagnac,Guzet-Neige,Stage with mountain(s),Massimo Ghirotto,ITA
15,1988-07-18,1988,7,18,187.0,Saint-Girons,Luz Ardiden,Stage with mountain(s),Laudelino Cubino,ESP
16,1988-07-19,1988,7,19,35.0,Luz Ardiden,Pau,Plain stage,Adrie van der Poel,NED
17,1988-07-19,1988,7,19,198.0,Pau,Bordeaux,Plain stage,Jean-Paul van Poppel,NED
18,1988-07-20,1988,7,20,94.0,Ruelle-sur-Touvre,Limoges,Plain stage,Gianni Bugno,ITA
19,1988-07-21,1988,7,21,188.0,Limoges,Puy de Dôme,Hilly stage,Johnny Weltz,DEN
20,1988-07-22,1988,7,22,223.0,Clermont-Ferrand,Chalon-sur-Saône,Plain stage,Thierry Marie,FRA
21,1988-07-23,1988,7,23,46.0,Santenay,Santenay,Individual time trial,Juan Martinéz,ESP
22,1988-07-24,1988,7,24,173.0,Nemours,Paris,Plain stage,Jean-Paul van Poppel,NED
P,1987-07-01,1987,7,1,6.0,West Berlin,West Berlin,Individual time trial,Jelle Nijdam,NED
1,1987-07-02,1987,7,2,105.0,West Berlin,West Berlin,Plain stage,Nico Verhoeven,NED
2,1987-07-02,1987,7,2,41.0,West Berlin,West Berlin,Team time trial,Carrera Jeans–Vagabond,
3,1987-07-04,1987,7,4,219.0,Karlsruhe,Stuttgart,Plain stage,Acácio da Silva,POR
4,1987-07-05,1987,7,5,79.0,Stuttgart,Pforzheim,Plain stage,Herman Frison,BEL
5,1987-07-05,1987,7,5,112.0,Pforzheim,Strasbourg,Plain stage,Marc Sergeant,BEL
6,1987-07-06,1987,7,6,169.0,Strasbourg,Épinal,Plain stage,Christophe Lavainne,FRA
7,1987-07-07,1987,7,7,211.0,Épinal,Troyes,Plain stage,Manuel Jorge Domínguez[8],ESP
8,1987-07-08,1987,7,8,206.0,Troyes,Épinay-sous-Sénart,Plain stage,Jean-Paul van Poppel,NED
9,1987-07-09,1987,7,9,260.0,Orléans,Renazé,Plain stage,Adrie van der Poel,NED
10,1987-07-10,1987,7,10,87.0,Saumur,Futuroscope,Individual time trial,Stephen Roche,IRE
11,1987-07-11,1987,7,11,206.0,Poitiers,Chaumeil,Hilly stage,Martial Gayant,FRA
12,1987-07-12,1987,7,12,228.0,Brive,Bordeaux,Plain stage,Davis Phinney,USA
13,1987-07-13,1987,7,13,219.0,Bayonne,Pau,Stage with mountain(s),Erik Breukink,NED
14,1987-07-14,1987,7,14,166.0,Pau,Luz Ardiden,Stage with mountain(s),Dag Otto Lauritzen,NOR
15,1987-07-15,1987,7,15,164.0,Tarbes,Blagnac,Plain stage,Rolf Gölz,GER
16,1987-07-16,1987,7,16,216.0,Blagnac,Millau,Hilly stage,Régis Clère,FRA
17,1987-07-17,1987,7,17,239.0,Millau,Avignon,Hilly stage,Jean-Paul van Poppel,NED
18,1987-07-19,1987,7,19,37.0,Carpentras,Mont Ventoux,Mountain time trial,Jean-François Bernard,FRA
19,1987-07-20,1987,7,20,185.0,Valréas,Villard-de-Lans,Stage with mountain(s),Pedro Delgado,ESP
20,1987-07-21,1987,7,21,201.0,Villard-de-Lans,Alpe d'Huez,Stage with mountain(s),Federico Echave,ESP
21,1987-07-22,1987,7,22,185.0,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
22,1987-07-23,1987,7,23,186.0,La Plagne,Morzine,Stage with mountain(s),Eduardo Chozas,ESP
23,1987-07-24,1987,7,24,225.0,Saint-Julien-en-Genevois,Dijon,Plain stage,Régis Clère,FRA
24,1987-07-25,1987,7,25,38.0,Dijon,Dijon,Individual time trial,Jean-François Bernard,FRA
25,1987-07-26,1987,7,26,192.0,Créteil,Paris,Plain stage,Jeff Pierce,USA
P,1986-07-04,1986,7,4,4.6,Boulogne-Billancourt,Boulogne-Billancourt,Individual time trial,Thierry Marie,FRA
1,1986-07-05,1986,7,5,85.0,Nanterre,Sceaux,Plain stage,Pol Verschuere,BEL
2,1986-07-05,1986,7,5,56.0,Meudon,Saint-Quentin-en-Yvelines,Team time trial,Système U,
3,1986-07-06,1986,7,6,214.0,Levallois-Perret,Liévin,Plain stage,Davis Phinney,USA
4,1986-07-07,1986,7,7,243.0,Liévin,Évreux,Plain stage,Pello Ruiz Cabestany,ESP
5,1986-07-08,1986,7,8,124.5,Evreux,Villers-sur-Mer,Plain stage,Johan van der Velde,NED
6,1986-07-09,1986,7,9,200.0,Villers-sur-Mer,Cherbourg,Plain stage,Guido Bontempi,ITA
7,1986-07-10,1986,7,10,201.0,Cherbourg,Saint-Hilaire-du-Harcouët,Plain stage,Ludo Peeters,BEL
8,1986-07-11,1986,7,11,204.0,Saint-Hilaire-du-Harcouët,Nantes,Plain stage,Eddy Planckaert,BEL
9,1986-07-12,1986,7,12,61.5,Nantes,Nantes,Individual time trial,Bernard Hinault,FRA
10,1986-07-13,1986,7,13,183.0,Nantes,Futuroscope,Plain stage,Jose-Angel Sarrapio,ESP
11,1986-07-14,1986,7,14,258.3,Futuroscope,Bordeaux,Plain stage,Rudy Dhaenens,BEL
12,1986-07-15,1986,7,15,217.5,Bayonne,Pau,Stage with mountain(s),Pedro Delgado,ESP
13,1986-07-16,1986,7,16,186.0,Pau,Superbagnères,Stage with mountain(s),Greg LeMond,USA
14,1986-07-17,1986,7,17,154.0,Superbagnères,Blagnac,Plain stage,Niki Rüttimann,SUI
15,1986-07-18,1986,7,18,225.5,Carcassonne,Nîmes,Plain stage,Frank Hoste,BEL
16,1986-07-19,1986,7,19,246.5,Nîmes,Gap,Plain stage,Jean-François Bernard,FRA
17,1986-07-20,1986,7,20,190.0,Gap,Serre Chevalier,Stage with mountain(s),Eduardo Chozas,ESP
18,1986-07-21,1986,7,21,162.5,Briançon,Alpe d'Huez,Stage with mountain(s),Bernard Hinault,FRA
19,1986-07-23,1986,7,23,179.5,Villard-de-Lans,Saint-Étienne,Plain stage,Julián Gorospe,ESP
20,1986-07-24,1986,7,24,58.0,Saint-Étienne,Saint-Étienne,Individual time trial,Bernard Hinault,FRA
21,1986-07-25,1986,7,25,190.0,Saint-Étienne,Puy de Dôme,Plain stage,Erich Mächler,SUI
22,1986-07-26,1986,7,26,194.0,Clermont-Ferrand,Nevers,Plain stage,Guido Bontempi,ITA
23,1986-07-27,1986,7,27,255.0,Cosne-sur-Loire,Paris,Plain stage,Guido Bontempi,ITA
P,1985-06-28,1985,6,28,6.0,Plumelec,Plumelec,Individual time trial,Bernard Hinault,FRA
1,1985-06-29,1985,6,29,256.0,Vannes,Lanester,Plain stage,Rudy Matthijs,BEL
2,1985-06-30,1985,6,30,242.0,Lorient,Vitre,Plain stage,Rudy Matthijs,BEL
3,1985-07-01,1985,7,1,73.0,Vitre,Fougères,Team time trial,La Vie Claire,
4,1985-07-02,1985,7,2,239.0,Fougères,Pont-Audemer,Plain stage,Gerrit Solleveld,NED
5,1985-07-03,1985,7,3,224.0,Neufchâtel-en-Bray,Roubaix,Plain stage with cobblestones,Henri Manders,NED
6,1985-07-04,1985,7,4,222.0,Roubaix,Reims,Plain stage,Francis Castaing,FRA
7,1985-07-05,1985,7,5,217.0,Reims,Nancy,Plain stage,Ludwig Wijnants,BEL
8,1985-07-06,1985,7,6,75.0,Sarrebourg,Strasbourg,Individual time trial,Bernard Hinault,FRA
9,1985-07-07,1985,7,7,174.0,Strasbourg,Épinal,Hilly stage,Maarten Ducrot,NED
10,1985-07-08,1985,7,8,204.0,Épinal,Pontarlier,Hilly stage,Jørgen V. Pedersen,DEN
11,1985-07-09,1985,7,9,195.0,Pontarlier,Morzine Avoriaz,Stage with mountain(s),Luis Herrera,COL
12,1985-07-10,1985,7,10,269.0,Morzine Avoriaz,Lans-en-Vercors,Stage with mountain(s),Fabio Parra,COL
13,1985-07-11,1985,7,11,32.0,Villard-de-Lans,Villard-de-Lans,Individual time trial,Eric Vanderaerden,BEL
14,1985-07-13,1985,7,13,179.0,Autrans,Saint-Étienne,Hilly stage,Luis Herrera,COL
15,1985-07-14,1985,7,14,238.0,Saint-Étienne,Aurillac,Plain stage,Eduardo Chozas,ESP
16,1985-07-15,1985,7,15,247.0,Aurillac,Toulouse,Plain stage,Frédéric Vichot,FRA
17,1985-07-16,1985,7,16,209.0,Toulouse,Luz Ardiden,Stage with mountain(s),Pedro Delgado,ESP
18a,1985-07-17,1985,7,17,53.0,Luz-Saint-Sauveur,Aubisque,Stage with mountain(s),Stephen Roche,IRE
18b,1985-07-17,1985,7,17,83.0,Laruns,Pau,Stage with mountain(s),Régis Simon,FRA
19,1985-07-18,1985,7,18,203.0,Pau,Bordeaux,Plain stage,Eric Vanderaerden,BEL
20,1985-07-19,1985,7,19,225.0,Montpon-Ménestérol,Limoges,Plain stage,Johan Lammerts,NED
21,1985-07-20,1985,7,20,46.0,Lac de Vassivière,Lac de Vassivière,Individual time trial,Greg LeMond,USA
22,1985-07-21,1985,7,21,196.0,Orléans,Paris,Plain stage,Rudy Matthijs,BEL
P,1984-06-29,1984,6,29,5.0,Montreuil,Noisy-le-Sec,Individual time trial,Bernard Hinault,FRA
1,1984-06-30,1984,6,30,149.0,Bondy,Saint-Denis,Plain stage,Frank Hoste,BEL
2,1984-07-01,1984,7,1,249.0,Bobigny,Louvroil,Plain stage,Marc Madiot,FRA
3,1984-07-02,1984,7,2,51.0,Louvroil,Valenciennes,Team time trial,Renault–Elf,
4,1984-07-02,1984,7,2,83.0,Valenciennes,Béthune,Plain stage,Ferdi Van Den Haute,BEL
5,1984-07-03,1984,7,3,207.0,Béthune,Cergy-Pontoise,Plain stage,Paulo Ferreira,POR
6,1984-07-04,1984,7,4,202.0,Cergy-Pontoise,Alençon,Plain stage,Frank Hoste,BEL
7,1984-07-05,1984,7,5,67.0,Alençon,Le Mans,Individual time trial,Laurent Fignon,FRA
8,1984-07-06,1984,7,6,192.0,Le Mans,Nantes,Plain stage,Pascal Jules,FRA
9,1984-07-07,1984,7,7,338.0,Nantes,Bordeaux,Plain stage,Jan Raas,NED
10,1984-07-08,1984,7,8,198.0,Langon,Pau,Plain stage,Eric Vanderaerden,BEL
11,1984-07-09,1984,7,9,227.0,Pau,Guzet-Neige,Stage with mountain(s),Robert Millar,GBR
12,1984-07-10,1984,7,10,111.0,Saint-Girons,Blagnac,Plain stage,Pascal Poisson,FRA
13,1984-07-11,1984,7,11,220.0,Blagnac,Rodez,Plain stage,Pierre-Henri Menthéour,FRA
14,1984-07-12,1984,7,12,228.0,Rodez,Domaine du Rouret,Hilly stage,Fons De Wolf,BEL
15,1984-07-13,1984,7,13,241.0,Domaine du Rouret,Grenoble,Hilly stage,Frédéric Vichot,FRA
16,1984-07-15,1984,7,15,22.0,Les Échelles,La Ruchère,Individual time trial,Laurent Fignon,FRA
17,1984-07-16,1984,7,16,151.0,Grenoble,Alpe d'Huez,Stage with mountain(s),Luis Herrera,COL
18,1984-07-17,1984,7,17,185.0,Le Bourg-d'Oisans,La Plagne,Stage with mountain(s),Laurent Fignon,FRA
19,1984-07-18,1984,7,18,186.0,La Plagne,Morzine,Stage with mountain(s),Ángel Arroyo,ESP
20,1984-07-19,1984,7,19,141.0,Morzine,Crans-Montana,Stage with mountain(s),Laurent Fignon,FRA
21,1984-07-20,1984,7,20,320.0,Crans-Montana,Villefranche-sur-Saône,Hilly stage,Frank Hoste,BEL
22,1984-07-21,1984,7,21,51.0,Villié-Morgon,Villefranche-sur-Saône,Individual time trial,Laurent Fignon,FRA
23,1984-07-22,1984,7,22,197.0,Pantin,Paris,Hilly stage,Eric Vanderaerden,BEL
P,1983-07-01,1983,7,1,6.0,Fontenay-sous-Bois,Fontenay-sous-Bois,Individual time trial,Eric Vanderaerden,BEL
1,1983-07-02,1983,7,2,163.0,Nogent-sur-Marne,Créteil,Plain stage,Frits Pirard,NED
2,1983-07-03,1983,7,3,100.0,Soissons,Fontaine-au-Pire,Team time trial,COOP–Mercier–Mavic,
3,1983-07-04,1983,7,4,152.0,Valenciennes,Roubaix,Hilly stage,Rudy Matthijs,BEL
4,1983-07-05,1983,7,5,300.0,Roubaix,Le Havre,Plain stage,Serge Demierre,SUI
5,1983-07-06,1983,7,6,257.0,Le Havre,Le Mans,Plain stage,Dominique Gaigne,FRA
6,1983-07-07,1983,7,7,58.0,Châteaubriant,Nantes,Individual time trial,Bert Oosterbosch,NED
7,1983-07-08,1983,7,8,216.0,Nantes,Île d'Oléron,Plain stage,Riccardo Magrini,ITA
8,1983-07-09,1983,7,9,222.0,La Rochelle,Bordeaux,Plain stage,Bert Oosterbosch,NED
9,1983-07-10,1983,7,10,207.0,Bordeaux,Pau,Plain stage,Philippe Chevallier,FRA
10,1983-07-11,1983,7,11,201.0,Pau,Bagnères-de-Luchon,Stage with mountain(s),Robert Millar,GBR
11,1983-07-12,1983,7,12,177.0,Bagnères-de-Luchon,Fleurance,Plain stage,Régis Clère,FRA
12,1983-07-13,1983,7,13,261.0,Fleurance,Roquefort-sur-Soulzon,Plain stage,Kim Andersen,DEN
13,1983-07-14,1983,7,14,210.0,Roquefort-sur-Soulzon,Aurillac,Hilly stage,Henk Lubberding,NED
14,1983-07-15,1983,7,15,149.0,Aurillac,Issoire,Hilly stage,Pierre Le Bigaut,FRA
15,1983-07-16,1983,7,16,16.0,Clermont-Ferrand,Puy de Dôme,Individual time trial,Ángel Arroyo,ESP
16,1983-07-17,1983,7,17,144.0,Issoire,Saint-Étienne,Hilly stage,Michel Laurent,FRA
17,1983-07-18,1983,7,18,223.0,La Tour-du-Pin,Alpe d'Huez,Stage with mountain(s),Peter Winnen,NED
18,1983-07-20,1983,7,20,247.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Jacques Michaud,FRA
19,1983-07-21,1983,7,21,15.0,Morzine,Avoriaz,Individual time trial,Lucien Van Impe,BEL
20,1983-07-22,1983,7,22,291.0,Morzine,Dijon,Plain stage,Philippe Leleu,FRA
21,1983-07-23,1983,7,23,50.0,Dijon,Dijon,Individual time trial,Laurent Fignon,FRA
22,1983-07-24,1983,7,24,195.0,Alfortville,Paris,Plain stage,Gilbert Glaus,SUI
P,1982-07-02,1982,7,2,7.0,Basel,Basel,Individual time trial,Bernard Hinault,FRA
1,1982-07-03,1982,7,3,207.0,Basel,Möhlin,Hilly stage,Ludo Peeters,BEL
2,1982-07-04,1982,7,4,250.0,Basel,Nancy,Plain stage,Phil Anderson,AUS
3,1982-07-05,1982,7,5,134.0,Nancy,Longwy,Plain stage,Daniel Willems,BEL
4,1982-07-06,1982,7,6,219.0,Beauraing,Mouscron,Plain stage,Gerrie Knetemann,NED
5,1982-07-07,1982,7,7,73.0,Orchies,Fontaine-au-Pire,Team time trial,Cancelled and replaced by stage 9a,
6,1982-07-08,1982,7,8,233.0,Lille,Lille,Plain stage,Jan Raas,NED
7,1982-07-10,1982,7,10,235.0,Cancale,Concarneau,Plain stage,Pol Verschuere,BEL
8,1982-07-11,1982,7,11,201.0,Concarneau,Châteaulin,Plain stage,Frank Hoste,BEL
9a,1982-07-12,1982,7,12,69.0,Lorient,Plumelec,Team time trial,Renault–Elf–Gitane,
9b,1982-07-12,1982,7,12,138.0,Plumelec,Nantes,Plain stage,Stefan Mutter,SUI
10,1982-07-13,1982,7,13,147.0,Saintes,Bordeaux,Plain stage,Pierre-Raymond Villemiane,FRA
11,1982-07-14,1982,7,14,57.0,Valence d'Agen,Valence d'Agen,Individual time trial,Gerrie Knetemann,NED
12,1982-07-15,1982,7,15,249.0,Fleurance,Pau,Stage with mountain(s),Sean Kelly,IRE
13,1982-07-16,1982,7,16,122.0,Pau,Saint-Lary-Soulan Pla d'Adet,Stage with mountain(s),Beat Breu,SUI
14,1982-07-18,1982,7,18,33.0,Martigues,Martigues,Individual time trial,Bernard Hinault,FRA
15,1982-07-19,1982,7,19,208.0,Manosque,Orcières-Merlette,Stage with mountain(s),Pascal Simon,FRA
16,1982-07-20,1982,7,20,123.0,Orcières-Merlette,Alpe d'Huez,Stage with mountain(s),Beat Breu,SUI
17,1982-07-21,1982,7,21,251.0,Le Bourg-d'Oisans,Morzine,Stage with mountain(s),Peter Winnen,NED
18,1982-07-22,1982,7,22,233.0,Morzine,Saint-Priest,Plain stage,Adrie van Houwelingen,NED
19,1982-07-23,1982,7,23,48.0,Saint-Priest,Saint-Priest,Individual time trial,Bernard Hinault,FRA
20,1982-07-24,1982,7,24,161.0,Sens,Aulnay-sous-Bois,Plain stage,Daniel Willems,BEL
21,1982-07-25,1982,7,25,187.0,Fontenay-sous-Bois,Paris,Plain stage,Bernard Hinault,FRA
P,1981-06-25,1981,6,25,6.0,Nice,Nice,Individual time trial,Bernard Hinault,FRA
1a,1981-06-26,1981,6,26,97.0,Nice,Nice,Hilly stage,Freddy Maertens,BEL
1b,1981-06-26,1981,6,26,40.0,Nice,Nice,Team time trial,TI–Raleigh–Creda[11],
2,1981-06-27,1981,6,27,254.0,Nice,Martigues,Plain stage,Johan van der Velde,NED
3,1981-06-28,1981,6,28,232.0,Martigues,Narbonne,Plain stage,Freddy Maertens,BEL
4,1981-06-29,1981,6,29,77.0,Narbonne,Carcassonne,Team time trial,TI–Raleigh–Creda,
5,1981-06-30,1981,6,30,117.0,Saint-Gaudens,Pla d'Adet,Stage with mountain(s),Lucien Van Impe,BEL
6,1981-07-01,1981,7,1,27.0,Nay,Pau,Individual time trial,Bernard Hinault,FRA
7,1981-07-02,1981,7,2,227.0,Pau,Bordeaux,Plain stage,Urs Freuler,SUI
8,1981-07-03,1981,7,3,182.0,Rochefort,Nantes,Plain stage,Ad Wijnands,NED
9,1981-07-05,1981,7,5,197.0,Nantes,Le Mans,Plain stage,René Martens,BEL
10,1981-07-06,1981,7,6,264.0,Le Mans,Aulnay-sous-Bois,Plain stage,Ad Wijnands,NED
11,1981-07-07,1981,7,7,246.0,Compiègne,Roubaix,Plain stage,Daniel Willems,BEL
12a,1981-07-08,1981,7,8,107.0,Roubaix,Brussels,Plain stage,Freddy Maertens,BEL
12b,1981-07-08,1981,7,8,138.0,Brussels,Circuit Zolder,Plain stage,Eddy Planckaert,BEL
13,1981-07-09,1981,7,9,157.0,Beringen,Hasselt,Plain stage,Freddy Maertens,BEL
14,1981-07-10,1981,7,10,38.0,Mulhouse,Mulhouse,Individual time trial,Bernard Hinault,FRA
15,1981-07-11,1981,7,11,231.0,Besançon,Thonon-les-Bains,Hilly stage,Sean Kelly,IRE
